Experiment, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10
1,255.199997 ,235.399994 ,255.500000 ,238.500000 ,246.199997 ,236.800003 ,238.399994 ,236.100006 ,247.600006 ,231.500000 
2,241.600006 ,238.399994 ,240.000000 ,250.600006 ,259.500000 ,259.799988 ,240.800003 ,4189.700195 ,228.500000 ,239.399994 
3,227.100006 ,188.500000 ,187.500000 ,189.500000 ,188.300003 ,189.199997 ,187.500000 ,187.500000 ,188.600006 ,187.699997 
4,226.899994 ,203.600006 ,203.000000 ,202.600006 ,203.000000 ,204.000000 ,204.000000 ,203.399994 ,203.300003 ,203.199997 
5,224.699997 ,203.100006 ,204.600006 ,204.800003 ,206.199997 ,203.899994 ,201.800003 ,204.000000 ,203.300003 ,205.500000 
6,229.399994 ,204.800003 ,204.500000 ,211.899994 ,205.699997 ,206.100006 ,204.500000 ,204.500000 ,206.100006 ,205.899994 
7,269.799988 ,273.100006 ,248.399994 ,242.000000 ,249.000000 ,257.700012 ,247.399994 ,237.300003 ,244.300003 ,242.699997 
8,288.500000 ,238.100006 ,234.600006 ,241.100006 ,233.600006 ,239.100006 ,240.600006 ,242.899994 ,255.899994 ,234.600006 
